sku_id,category,name,mrp,discount_percent,discounted_selling_price,weight_in_gms,available_quantity,out_of_stock
SKU02817,"Bakery & Biscuits",Rusk - Premium,10258,59,4205,40,14,False
SKU00308,"Fruits & Vegetables",Ridge Gourd,6423,67,2119,250,0,True
SKU03210,Baby Care,Baby Bib,158345,20,126676,300,128,False
SKU00281,"Fruits & Vegetables",Mushroom - Button,5699,17,4730,2000,8,False
SKU00352,"Fruits & Vegetables",Curry Leaves,8674,31,5985,1500,33,False
SKU01205,Beverages,Sprite 750ml,45406,32,30876,500,10,False
SKU01013,"Snacks & Munchies",Jim Jam Biscuit,1670,33,1118,90,52,False
SKU00968,"Snacks & Munchies","Hide & Seek",38713,29,27486,400,76,False
SKU01972,Personal Care,Dove Shampoo - Daily Shine,28697,22,22383,100,57,False
SKU02076,Personal Care,Dove Beauty Bar,35124,16,29504,500,124,False
SKU02412,"Instant & Frozen Food",Instant Pasta - Knorr,43217,28,31116,500,184,False
SKU02754,"Bakery & Biscuits",Puff - Veg,26757,61,10435,100,0,True
SKU01098,"Snacks & Munchies",Roasted Almonds - Salted,16296,1,16133,200,132,False
SKU01688,"Cleaning & Household",Paper Towel Roll,74633,26,55228,400,3,False
SKU02491,"Instant & Frozen Food",Upma Mix - MTR,8701,29,6177,400,49,False
SKU02768,"Bakery & Biscuits",Patties - Chicken,18556,4,17813,100,28,False
SKU01430,Beverages,Kombucha - Bombucha,24641,30,17248,1000,0,True
SKU02072,Personal Care,Dove Beauty Bar,47079,52,22597,200,58,False
SKU00628,"Dairy & Bread",Milk Bread,34506,21,27259,500,167,False
SKU01418,Beverages,Coconut Water - Raw Pressery,39684,0,39684,200,89,False
SKU02029,Personal Care,Ponds Face Wash,47983,20,38386,,199,False
SKU02223,Personal Care,Face Cream - Olay,27439,5,26067,75,0,True
SKU03063,Baby Care,MamyPoko Pants - L,67007,12,58966,500,0,True
SKU02125,Personal Care,Deodorant - Fogg,34211,5,32500,250,107,False
SKU02137,Personal Care,Perfume - Wild Stone,112650,59,46186,150,177,False
SKU00996,"Snacks & Munchies",Bourbon Biscuit,10210,7,9495,50,148,False
SKU01018,"Snacks & Munchies",Jim Jam Biscuit,33773,,23303,90,195,False
SKU01595,"Cleaning & Household",Surf Excel Matic Top Load,77264,25,57948,1000,78,False
SKU02318,"Instant & Frozen Food",MTR Ready-to-Eat Rajma,45092,,42386,70,80,False
SKU00416,"Fruits & Vegetables",Kiwi - Green,0,23,0,,72,False
SKU01537,Beverages,Instant Coffee - Nescafe,40057,8,36852,350,0,True
SKU03136,Baby Care,Baby Soap - Dove,23172,22,18074,200,72,False
SKU00133,"Fruits & Vegetables",Ginger,22598,6,21242,1000,0,True
SKU01360,Beverages,Tonic Water - Schweppes,3244,0,3244,350,121,False
SKU02831,"Bakery & Biscuits",Cake Rusk - Britannia,2567,19,2079,,0,True
SKU01986,Personal Care,Pantene Conditioner,117040,12,102995,200,0,True
SKU02126,Personal Care,Perfume - Wild Stone,64492,14,55463,250,57,False
SKU00932,"Snacks & Munchies",Too Yumm Multigrain,11644,7,10828,90,32,False
SKU02031,Personal Care,Ponds Face Wash,10213,17,8476,150,9,False
SKU03314,Pet Care,Drools Dog Treat,24086,25,18064,500,3,False
SKU02995,Baby Care,Lactogen 1,138569,11,123326,100,0,True
SKU00544,"Dairy & Bread","Curd - Plain (400g)",28263,,23175,1000,112,False
SKU00309,"Fruits & Vegetables",Ridge Gourd,24846,18,20373,500,180,False
SKU00584,"Dairy & Bread",Amul Masti Buttermilk,44642,18,36606,1000,30,False
SKU03391,Pet Care,Dog Toy - Ball,47168,,36319,400,33,False
SKU01586,"Cleaning & Household",Surf Excel Matic Top Load,32475,,29227,1000,30,False
SKU01543,"Cleaning & Household",Vim Dishwash Gel - Lemon,29932,,29034,,185,False
SKU02482,"Instant & Frozen Food",Upma Mix - MTR,45884,69,14224,500,21,False
SKU00464,"Fruits & Vegetables",Radish,9593,9,8729,500,198,False
SKU02292,"Instant & Frozen Food",Yippee Noodles - Classic,43074,69,13352,200,0,True
SKU00159,"Fruits & Vegetables",Beetroot,5746,44,3217,1500,0,True
SKU00879,"Snacks & Munchies",Haldiram's Aloo Bhujia,22275,17,18488,200,174,False
SKU00770,"Dairy & Bread",Condensed Milk - Milkmaid,17117,8,15747,500,29,False
SKU00989,"Snacks & Munchies",Oreo - Original,29389,0,29389,30,70,False
SKU00818,"Dairy & Bread",Dahi - Set,2775,,2275,400,0,True
SKU01113,"Snacks & Munchies",Cashew Nuts - W320,9183,26,6795,150,81,False
SKU02553,"Instant & Frozen Food",Chapati - Ready to Eat,48302,20,38641,400,52,False
SKU03019,Baby Care,Pampers Diapers - M,154694,65,54142,500,0,True
SKU01600,"Cleaning & Household",Tide Detergent Powder,75861,24,57654,2000,0,True
SKU03185,Baby Care,Teether,118553,39,72317,500,0,True
SKU00890,"Snacks & Munchies",Pringles Original,27437,10,24693,150,188,False
SKU00351,"Fruits & Vegetables",Curry Leaves,20213,33,13542,1000,0,True
SKU00682,"Dairy & Bread",Flavoured Yogurt - Strawberry,48477,32,32964,400,103,False
SKU02281,"Instant & Frozen Food",Maggi 2-Minute Noodles,38892,60,15556,50,65,False
SKU00918,"Snacks & Munchies",Cornitos Nachos,23213,33,15552,200,194,False
SKU03131,Baby Care,Baby Soap - Dove,176613,35,114798,500,119,False
SKU03234,Baby Care,Baby Towel,110360,5,104842,100,26,False
SKU01538,Beverages,Instant Coffee - Nescafe,24905,5,23659,500,145,False
SKU01854,"Cleaning & Household",Naphthalene Balls,56225,14,48353,2000,66,False
SKU02415,"Instant & Frozen Food",Instant Pasta - Knorr,25828,33,17304,500,25,False
SKU03149,Baby Care,Diaper Rash Cream,19026,26,14079,200,163,False
SKU00244,"Fruits & Vegetables",Mango - Alphonso,9097,14,7823,250,6,False
SKU02172,Personal Care,Ear Buds,39168,6,36817,50,0,True
SKU00420,"Fruits & Vegetables",Avocado,6464,3,6270,1000,158,False
SKU00456,"Fruits & Vegetables",Sweet Potato,6292,26,4656,,110,False
SKU01929,Personal Care,Oral-B Toothbrush,45141,16,37918,500,134,False
SKU02501,"Instant & Frozen Food",Dosa Batter - iD,32256,20,25804,50,48,False
SKU01405,Beverages,Cold Coffee - Starbucks,40814,0,40814,500,47,False
SKU03425,Pet Care,Bird Seed Mix,64495,57,27732,200,188,False
SKU02954,"Bakery & Biscuits",Eclair - Chocolate,6956,33,4660,60,40,False
SKU03443,Pet Care,Pet Carrier - Small,24857,35,16157,400,48,False
SKU02485,"Instant & Frozen Food",Upma Mix - MTR,8384,20,6707,1000,185,False
SKU00751,"Dairy & Bread",Skimmed Milk Powder,13419,,7246,1000,5,False
SKU01940,Personal Care,Listerine Mouthwash,71202,56,31328,100,12,False
SKU03183,Baby Care,Teether,128582,13,111866,100,68,False
SKU02273,"Instant & Frozen Food",Maggi 2-Minute Noodles,49564,31,34199,500,128,False
SKU00650,"Dairy & Bread",Cheese Spread - Amul,39127,13,34040,200,157,False
SKU00240,"Fruits & Vegetables",Pomegranate,12104,17,10046,2000,171,False
SKU01412,Beverages,Coconut Water - Raw Pressery,42628,17,35381,350,9,False
SKU02685,"Bakery & Biscuits",Brownie - Chocolate,26537,,25210,150,135,False
SKU00182,"Fruits & Vegetables",Cauliflower,5826,28,4194,500,0,True
SKU00183,"Fruits & Vegetables",Cauliflower,19216,17,15949,250,108,False
SKU03174,Baby Care,Sippy Cup,137691,13,119791,500,3,False
SKU00296,"Fruits & Vegetables",Peas - Green,22255,15,18916,1500,52,False
SKU00894,"Snacks & Munchies",Pringles Original,35900,3,34823,400,165,False
SKU00988,"Snacks & Munchies",Oreo - Original,26250,1,25987,30,196,False
SKU01328,Beverages,Sting Energy Drink,5122,0,5122,350,66,False
SKU00707,"Dairy & Bread","Lassi - Mango (Amul)",13269,10,11942,200,135,False
SKU02342,"Instant & Frozen Food",Haldiram's Frozen Paratha,49587,32,33719,200,0,True
SKU02538,"Instant & Frozen Food",Frozen Spring Roll,40220,31,27751,,1,False
SKU02403,"Instant & Frozen Food",Frozen Fish Fingers,43638,11,38837,500,0,True
SKU00213,"Fruits & Vegetables",Sweet Corn,17721,27,12936,1000,196,False
SKU01576,"Cleaning & Household",Harpic Toilet Cleaner,10871,40,6522,500,16,False
SKU02997,Baby Care,Lactogen 1,71572,10,64414,400,117,False
SKU02459,"Instant & Frozen Food",Muesli - Bagrry's,34672,0,34672,140,162,False
SKU02325,"Instant & Frozen Food",MTR Ready-to-Eat Rajma,34386,25,25789,200,70,False
SKU02698,"Bakery & Biscuits",Bread Roll,27804,2,27247,300,65,False
SKU00760,"Dairy & Bread",Skimmed Milk Powder,29450,1,29155,500,85,False
SKU01339,Beverages,Bisleri Water 1L,47647,6,44788,750,118,False
SKU02453,"Instant & Frozen Food",Muesli - Bagrry's,2419,2,2370,50,130,False
SKU00877,"Snacks & Munchies",Bingo Mad Angles,37463,34,24725,90,120,False
SKU00165,"Fruits & Vegetables",Cabbage,10314,16,8663,2000,89,False
SKU02783,"Bakery & Biscuits",Donut - Glazed,18026,37,11356,150,48,False
SKU02581,"Instant & Frozen Food",Pasta - Barilla Penne,31779,52,15253,1000,55,False
SKU02909,"Bakery & Biscuits",Sourdough Bread,22373,14,19240,100,47,False
SKU00293,"Fruits & Vegetables",Peas - Green,8057,2,7895,2000,37,False
SKU02274,"Instant & Frozen Food",Maggi 2-Minute Noodles,26697,50,13348,1000,73,False
SKU03352,Pet Care,Dog Biscuit - Milk Bone,124198,6,116746,100,0,True
SKU01957,Personal Care,"Head & Shoulders Shampoo",41873,60,16749,200,48,False
SKU01007,"Snacks & Munchies",Dark Fantasy,5918,21,4675,400,7,False
SKU02475,"Instant & Frozen Food",Poha - Instant,44266,0,44266,200,122,False
SKU00164,"Fruits & Vegetables",Cabbage,24533,31,16927,500,30,False
SKU01779,"Cleaning & Household",Broom - Grass,34557,21,27300,750,0,True
SKU03275,Pet Care,Whiskas Cat Food - Tuna,80115,26,59285,,41,False
SKU02020,Personal Care,Vaseline Intensive Care,22877,,15556,250,0,True
SKU02960,"Bakery & Biscuits",Eclair - Chocolate,27353,0,27353,,115,False
SKU02307,"Instant & Frozen Food",Cup Noodles - Masala,28367,10,25530,400,61,False
SKU00153,"Fruits & Vegetables",Beetroot,13150,4,12624,1000,17,False
SKU02518,"Instant & Frozen Food",Frozen Samosa,41110,6,38643,140,187,False
SKU02927,"Bakery & Biscuits",Bagel - Plain,6321,27,4614,150,32,False
SKU00269,"Fruits & Vegetables",Papaya,20490,31,14138,1500,88,False
SKU00674,"Dairy & Bread",Flavoured Yogurt - Strawberry,28373,5,26954,200,154,False
SKU02248,Personal Care,Talcum Powder - Ponds,52639,4,50533,75,27,False
SKU03383,Pet Care,Cat Toy - Mouse,17921,,15770,3000,121,False
SKU02914,"Bakery & Biscuits",Focaccia Bread,12620,35,8203,60,22,False
SKU01597,"Cleaning & Household",Surf Excel Matic Top Load,47269,8,43487,400,84,False
SKU03187,Baby Care,Teether,65336,29,46388,500,0,True
SKU01087,"Snacks & Munchies",Trail Mix - Dry Fruits,34292,17,28462,50,0,True
SKU01512,Beverages,Glucon-D Orange,22171,27,16184,1000,0,True
SKU00651,"Dairy & Bread",Cheese Spread - Amul,2880,51,1411,100,0,True
SKU00105,"Fruits & Vegetables","Ladies Finger (Bhindi)",10647,51,5217,500,197,False
SKU02431,"Instant & Frozen Food","Soup - Knorr Hot & Sour",18502,13,16096,70,131,False
SKU03412,Pet Care,Fish Food - Taiyo,128034,33,85782,400,26,False
SKU01179,Beverages,Coca Cola 750ml,44795,7,41659,500,163,False
SKU02860,"Bakery & Biscuits",Butter Cookies - Danish,33365,30,23355,40,0,True
SKU00749,"Dairy & Bread",Tofu - Firm,7566,4,7263,,63,False
SKU02121,Personal Care,Deodorant - Fogg,104345,57,44868,50,0,True
SKU00522,"Dairy & Bread",Amul Butter - 100g,53962,8,49645,,105,False
SKU01112,"Snacks & Munchies",Cashew Nuts - W320,28541,23,21976,,178,False
SKU00951,"Snacks & Munchies",Parle Rusk,33018,31,22782,90,129,False
SKU01696,"Cleaning & Household",Paper Towel Roll,49277,9,44842,400,101,False
SKU02932,"Bakery & Biscuits",Bagel - Plain,33176,16,27867,200,121,False
SKU01738,"Cleaning & Household",Phenyl - White,35448,16,29776,200,193,False
SKU00838,"Dairy & Bread",Milkshake - Chocolate,40981,19,33194,1000,12,False
SKU02806,"Bakery & Biscuits",Swiss Roll,34990,32,23793,40,94,False
SKU02615,"Instant & Frozen Food",Frozen Momos - Wo Momo,28028,22,21861,140,23,False
SKU02810,"Bakery & Biscuits",Swiss Roll,17340,13,15085,40,26,False
SKU02748,"Bakery & Biscuits",Cream Roll,13280,67,4382,,73,False
SKU02761,"Bakery & Biscuits",Patties - Chicken,17088,8,15720,150,0,True
SKU01180,Beverages,Coca Cola 750ml,49288,,37951,350,192,False
SKU00519,"Dairy & Bread",Amul Butter - 100g,3494,34,2306,1000,91,False
SKU02098,Personal Care,Gillette Mach3 Razor,14183,30,9928,200,0,True
SKU01868,"Cleaning & Household",Rat Trap - Glue,71481,31,49321,200,168,False
SKU00764,"Dairy & Bread",Condensed Milk - Milkmaid,36473,13,31731,500,0,True
SKU00957,"Snacks & Munchies",Monaco Biscuit,32414,27,23662,200,44,False
SKU02687,"Bakery & Biscuits",Brownie - Chocolate,3219,2,3154,100,154,False
SKU02055,Personal Care,Sunscreen - Lakme SPF50,24984,55,11242,250,72,False
SKU02154,Personal Care,Cotton Balls,13411,15,11399,250,0,True
SKU02719,"Bakery & Biscuits",Pizza Base,28288,19,22913,40,80,False
SKU00022,"Fruits & Vegetables",Potato,18847,2,18470,500,77,False
SKU00067,"Fruits & Vegetables",Banana - Robusta,18356,33,12298,1000,17,False
SKU02298,"Instant & Frozen Food",Top Ramen - Curry,9674,32,6578,400,168,False
SKU00931,"Snacks & Munchies",Too Yumm Multigrain,8610,1,8523,90,151,False
SKU03287,Pet Care,Whiskas Cat Food - Chicken,33091,66,11250,3000,13,False
SKU03342,Pet Care,Cat Shampoo,11000,,10780,1000,4,False
SKU01475,Beverages,Protein Shake - MuscleBlaze,7695,,5617,750,97,False
SKU01219,Beverages,Frooti Mango 200ml,38343,29,27223,500,0,True
SKU01417,Beverages,Coconut Water - Raw Pressery,40719,12,35832,350,116,False
SKU01636,"Cleaning & Household",Domex Toilet Cleaner,27825,,23651,750,27,False
SKU02049,Personal Care,Sunscreen - Lakme SPF50,47993,22,37434,250,119,False
SKU00361,"Fruits & Vegetables","Amla (Indian Gooseberry)",14081,50,7040,1000,36,False
SKU02667,"Bakery & Biscuits",Treat Croissant - Chocolate,27783,24,21115,200,0,True
SKU02430,"Instant & Frozen Food","Soup - Knorr Hot & Sour",47625,27,34766,400,0,True
SKU00591,"Dairy & Bread",Greek Yogurt - Plain,53980,27,39405,100,122,False
SKU02372,"Instant & Frozen Food",Frozen Peas - Safal,12516,24,9512,500,119,False
SKU03001,Baby Care,Nan Pro 2,141405,31,97569,100,95,False
SKU02955,"Bakery & Biscuits",Eclair - Chocolate,3998,1,3958,60,128,False
SKU01525,Beverages,Electral Powder,17820,11,15859,1000,162,False
SKU02870,"Bakery & Biscuits",Butter Cookies - Danish,22811,3,22126,60,0,True
SKU00321,"Fruits & Vegetables",Drumstick,8869,11,7893,500,165,False
SKU02711,"Bakery & Biscuits",Pizza Base,0,10,0,100,7,False
SKU02091,Personal Care,Lifebuoy Handwash Refill,52744,,51161,250,11,False
SKU00910,"Snacks & Munchies",Act II Popcorn - Butter,37707,11,33559,400,185,False
SKU00217,"Fruits & Vegetables",Sweet Corn,24783,34,16356,2000,0,True
SKU00560,"Dairy & Bread",Paneer - Fresh,4217,58,1771,100,169,False
SKU01985,Personal Care,Pantene Conditioner,74676,,49286,150,71,False
SKU01163,"Snacks & Munchies",Mathri,17395,28,12524,50,78,False
SKU03359,Pet Care,Dog Biscuit - Milk Bone,5541,15,4709,,0,True
SKU00046,"Fruits & Vegetables",Green Chilli,7250,12,6380,1000,200,False
SKU00432,"Fruits & Vegetables",Dragon Fruit,4797,54,2206,1500,71,False
SKU02349,"Instant & Frozen Food",Haldiram's Frozen Paratha,2347,40,1408,50,0,True
SKU00467,"Fruits & Vegetables",Radish,6190,44,3466,500,0,True
SKU02397,"Instant & Frozen Food",Frozen Fish Fingers,23058,0,23058,140,68,False
SKU00569,"Dairy & Bread",Paneer - Fresh,44992,22,35093,1000,13,False
SKU02145,Personal Care,Sanitary Pads - Whisper,38342,5,36424,100,58,False
SKU03421,Pet Care,Bird Seed Mix,42589,45,23423,3000,0,True
SKU01931,Personal Care,Oral-B Toothbrush,101910,,93757,75,18,False
SKU02249,Personal Care,Talcum Powder - Ponds,76034,22,59306,200,2,False
SKU01141,"Snacks & Munchies",Granola Bar - Nature Valley,11410,31,7872,90,123,False
SKU02544,"Instant & Frozen Food",Chapati - Ready to Eat,47294,22,36889,400,111,False
SKU03253,Pet Care,Pedigree Dog Food - Veg,122871,2,120413,3000,195,False
SKU01871,"Cleaning & Household",Drain Cleaner,53028,10,47725,2000,193,False
SKU02497,"Instant & Frozen Food",Dosa Batter - iD,11882,12,10456,200,0,True
SKU00096,"Fruits & Vegetables",Capsicum - Green,3638,47,1928,2000,43,False
SKU01558,"Cleaning & Household",Lizol Floor Cleaner - Citrus,12730,34,8401,1000,191,False
SKU00529,"Dairy & Bread",Britannia Cheese Slices,13387,67,4417,1000,0,True
SKU01623,"Cleaning & Household",Colin Glass Cleaner,29754,0,29754,1000,188,False
SKU00981,"Snacks & Munchies",Oreo - Original,14074,11,12525,400,18,False
SKU00314,"Fruits & Vegetables",Ridge Gourd,24450,16,20538,250,49,False
SKU00219,"Fruits & Vegetables",Sweet Corn,19985,,19985,500,176,False
SKU03437,Pet Care,Pet Carrier - Small,78931,25,59198,1000,153,False
SKU01841,"Cleaning & Household",Dish Cloth - 3 Pack,48322,2,47355,1000,200,False
SKU02444,"Instant & Frozen Food",Oats - Quaker,24154,34,15941,70,11,False
SKU02666,"Bakery & Biscuits",Treat Croissant - Chocolate,5241,8,4821,200,96,False
SKU01022,"Snacks & Munchies",Jim Jam Biscuit,10044,30,7030,50,4,False
SKU01563,"Cleaning & Household",Lizol Floor Cleaner - Citrus,37928,5,36031,750,188,False
SKU02646,"Bakery & Biscuits",Tiger Glucose Biscuit,6114,26,4524,300,105,False
SKU00451,"Fruits & Vegetables",Sweet Potato,15546,,15235,1000,77,False
SKU01892,"Cleaning & Household",Glass Wiper,72541,16,60934,750,0,True
SKU00225,"Fruits & Vegetables",Tender Coconut,2363,4,2268,2000,36,False
SKU01671,"Cleaning & Household",Aluminium Foil - 9m,21868,6,20555,400,0,True
SKU02124,Personal Care,Deodorant - Fogg,56676,13,49308,250,47,False
SKU02564,"Instant & Frozen Food",Atta Noodles - Patanjali,36742,31,25351,70,0,True
SKU02216,Personal Care,Face Cream - Olay,40555,32,27577,,90,False
SKU00294,"Fruits & Vegetables",Peas - Green,13617,18,11165,1500,169,False
SKU00029,"Fruits & Vegetables",Potato,10438,5,9916,500,78,False
SKU01063,"Snacks & Munchies",Good Day Butter Cookies,22250,14,19135,400,109,False
SKU01390,Beverages,Filter Coffee Decoction,12865,52,6175,500,0,True
SKU02458,"Instant & Frozen Food",Muesli - Bagrry's,38570,24,29313,70,41,False
SKU00528,"Dairy & Bread",Britannia Cheese Slices,31153,4,29906,1000,96,False
SKU01306,Beverages,Monster Energy 350ml,59262,9,53928,1000,86,False
SKU00019,"Fruits & Vegetables",Tomato - Hybrid,6588,15,5599,1000,188,False
SKU03073,Baby Care,Baby Wipes - Johnson's,191960,20,153568,100,115,False
SKU01706,"Cleaning & Household",Room Freshener - Odonil,44320,51,21716,400,36,False
SKU02791,"Bakery & Biscuits",Cup Cake - Vanilla,27111,11,24128,100,136,False
SKU01846,"Cleaning & Household",Naphthalene Balls,64283,8,59140,200,91,False
SKU02607,"Instant & Frozen Food",Instant Rice - Minute,41389,3,40147,400,123,False
SKU02859,"Bakery & Biscuits",Cookies - Choco Chip,10100,34,6665,60,158,False
SKU00987,"Snacks & Munchies",Oreo - Original,33908,4,32551,150,69,False
SKU00040,"Fruits & Vegetables",Green Chilli,0,5,0,500,63,False
SKU02324,"Instant & Frozen Food",MTR Ready-to-Eat Rajma,3812,,2630,50,47,False
SKU00792,"Dairy & Bread",Buttermilk - Masala,42931,1,42501,400,2,False
SKU03378,Pet Care,Dog Leash,92819,18,76111,1000,189,False
SKU00060,"Fruits & Vegetables",Banana - Robusta,15840,4,15206,2000,29,False
SKU01899,Personal Care,Colgate MaxFresh Toothpaste,50486,4,48466,75,51,False
SKU01844,"Cleaning & Household",Dish Cloth - 3 Pack,70086,12,61675,2000,48,False
SKU00400,"Fruits & Vegetables",Pineapple,13214,14,11364,1000,88,False
SKU01042,"Snacks & Munchies",Marie Gold,7725,16,6489,50,26,False
SKU02554,"Instant & Frozen Food",Chapati - Ready to Eat,13817,20,11053,200,42,False
SKU02792,"Bakery & Biscuits",Cup Cake - Vanilla,23725,22,18505,100,11,False
SKU01672,"Cleaning & Household",Aluminium Foil - 9m,10026,14,8622,1000,134,False
SKU00854,"Snacks & Munchies",Kurkure Masala Munch,16451,20,13160,50,46,False
SKU00288,"Fruits & Vegetables",Mushroom - Button,21147,4,20301,2000,65,False
SKU02623,"Bakery & Biscuits",Britannia Cake - Chocolate,0,17,0,150,194,False
SKU02802,"Bakery & Biscuits",Swiss Roll,11574,60,4629,300,96,False
SKU02469,"Instant & Frozen Food",Cornflakes - Kellogg's,2134,3,2069,1000,112,False
SKU02097,Personal Care,Gillette Mach3 Razor,51654,-7,42356,50,151,False
SKU02080,Personal Care,Dove Beauty Bar,17211,34,11359,75,0,True
SKU01999,Personal Care,Nivea Body Lotion,39304,53,18472,500,125,False
SKU01590,"Cleaning & Household",Surf Excel Matic Top Load,32112,2,31469,2000,115,False
SKU01050,"Snacks & Munchies",Good Day Butter Cookies,34214,15,29081,400,121,False
SKU03451,Pet Care,Pet Carrier - Small,129947,8,119551,400,154,False
SKU02671,"Bakery & Biscuits",Muffin - Blueberry,34144,25,25608,150,0,True
SKU03415,Pet Care,Fish Food - Taiyo,105996,28,76317,100,59,False
SKU01366,Beverages,Green Tea - Lipton,46173,47,24471,250,0,True
SKU01239,Beverages,Maaza Mango 600ml,25247,18,20702,250,143,False
SKU00162,"Fruits & Vegetables",Cabbage,17521,29,12439,1000,124,False
SKU00303,"Fruits & Vegetables","Bottle Gourd (Lauki)",1544,33,1034,1500,3,False
SKU01108,"Snacks & Munchies",Cashew Nuts - W320,15324,35,9960,200,63,False
SKU03175,Baby Care,Sippy Cup,184660,22,144034,300,178,False
SKU01501,Beverages,Bournvita 500g,48396,27,35329,750,141,False
SKU02779,"Bakery & Biscuits",Donut - Glazed,18273,14,15714,150,62,False
SKU01361,Beverages,Green Tea - Lipton,3553,29,2522,250,0,True
SKU00552,"Dairy & Bread","Curd - Plain (400g)",23883,31,16479,200,45,False
SKU01622,"Cleaning & Household",Colin Glass Cleaner,44329,30,31030,400,187,False
SKU00472,"Fruits & Vegetables",Radish,15059,64,5421,2000,175,False
SKU02943,"Bakery & Biscuits",Cinnamon Roll,2806,31,1936,40,0,True
SKU00799,"Dairy & Bread",Shrikhand - Kesar,42183,28,30371,200,60,False
SKU00015,"Fruits & Vegetables",Tomato - Hybrid,12998,14,11178,1000,22,False
SKU02855,"Bakery & Biscuits",Cookies - Choco Chip,24681,5,23446,40,30,False
SKU03404,Pet Care,Fish Food - Taiyo,103404,51,50667,1000,149,False
SKU01692,"Cleaning & Household",Paper Towel Roll,35970,21,28416,1000,180,False
SKU00200,"Fruits & Vegetables","Spinach (Palak)",11474,12,10097,250,74,False
SKU01772,"Cleaning & Household",Mop Refill,79767,52,38288,750,44,False
